Id	Polaridad	Happiness	Anger	Fear	Repulsion	Surprise	Sadness	interest
1	0,933333333	0,733333333	0	0	0	0	0	Unidentified
2	1	0,8	0	0	0	0	0	Unidentified
3	0,75	0,9	0	0	0	0	0	Unidentified
4	1	0,6	0	0	0	0	0	Unidentified
5	1	0,9	0	0	0	0	0	Unidentified
6	1	0,9	0	0	0	0	0	Unidentified
7	0,9	0,7	0	0	0	0	0	Unidentified
8	0,9	0,8	0	0	0	0	0	Unidentified
9	0,5	0,566666667	0	0	0	0	0	Unidentified
10	1	0,966666667	0	0	0	0	0	Unidentified
11	1	0,85	0	0	0	0	0	Unidentified
12	0,966666667	0,7	0	0	0	0	0	Unidentified
13	0,95	0,9	0	0	0	0	0	Unidentified
14	0,7	0,233333333	0	0	0	0	0	Unidentified
15	0,766666667	0,566666667	0	0	0	0	0	Unidentified
16	0,9	0,8	0	0	0	0	0	Unidentified
17	1	0,833333333	0	0	0	0	0	Unidentified
18	1	0,9	0	0	0	0	0	Unidentified
19	0,7	0,9	0	0	0	0	0	Unidentified
20	0,8	0	0	0	0	0	0	Unidentified
21	0,666666667	0,533333333	0	0	0	0	0	Unidentified
22	0	0	0	0	0	0	0	Unidentified
23	0	0	0	0	0	0	0	Unidentified
24	-0,45	0	0	0	0	0	0	Unidentified
25	-0,6	0	0,6	0,5	0,5	0,5	0	Unidentified
26	-0,7	0	0	0	0	0	0	Unidentified
27	-0,3	0	0	0	0	0	0	Unidentified
28	0,466666667	0	0	0	0	0	0	Unidentified
29	-0,7	0	0,275	0	0	0	0,375	Unidentified
30	-0,866666667	0	0	0	0	0	0,8	Unidentified
31	0	0	0	0,15	0	0,3	0	Unidentified
32	-0,7	0	0	0	0,5	0,5	0	Unidentified
33	-0,6	0	0	0	0	0	0	Unidentified
34	-0,55	0	0	0	0	0	0	Unidentified
35	-0,65	0	0	0	0	0	0	Unidentified
36	0	0	0	0	0	0	0	Unidentified
37	0,4	0,266666667	0	0	0	0	0	Unidentified
38	0,5	0,4	0	0	0	0	0	Unidentified
39	0,7	0,8	0	0	0	0	0	Unidentified
40	0,833333333	0,4	0	0	0	0	0	Unidentified
41	0,766666667	0	0	0	0	0	0	Unidentified
