:-)--	100 pound weakling
:-)-{8	a big girl
:>)	a big nose
:->|	a cold
>:)	a little devil
:-)))))))	smile
[:|]	a robot
:-o	Alarmed
(8>/--<	Alien
(.V.)	Alien
(.!.)	Alien
:-O	Amazement
:-|	ambivalent
:%)	an accountant
(:I	an egghead
:-0	surprised
O:)	Angel
O:-)	Angel
0=)	Angel
0:-)	angel
^j^	Angel
0*-)	Angel Wink â€“ Female
0;-)	Angel Wink â€“ Male
o:-)	angelic
X(	Angry
X-(	Angry
>:-)	angry
>:-(	angry
(:-&	angry
:@	Angry
:(	Angry
:-||	Angry
:-{	Angry
:-Z	Angry Face
|_|'	Anime Sweat Drop
-_-;	Anime Sweat Drop
^^;	Anime Sweat Drop
>:-(	Annoyed
@_@	Annoyed
(-_-* )	Annoyed
( o_o)	Annoyed
<:-I	another dunce
l-)	Asleep
|-I	asleep
|-)	asleep (boredom)
(-:	happy
~:O	Baby
~:0	Baby
X:-)	bad hair day
(:-)	Bald
(::( )::)	Band-Aid
(::[]::)	band-aide
^v^	Bat
B-)	Batman
(''')-.-(''')	Bear
:-%	beard
:-){	Beard
b-(	Beat Up
%-|	Been Up All Night
:D	smile
:-D	Big Grin
:------------)	big liar
:>)	big nose
:)) 	big smile
~O~	Bird
|-O	Sleepy
*<:)	Birthday Hat
:->	biting sarcasm
:-]	biting sarcasm
?-(	Black Eye
!-(	Black Eye
(:-	Blank Expression
^^	Blissful
:")	Blush
:,')	Blushing
:-">	Blushing
(@_@)	bog-eyed, or drunk
l-o	bored
\-o	bored
:-o	Bored
:-!	Bored
:-}X	Bow Tie-Wearing
(||)	Bowl
===O____iii	Bowling
( '}{' )	Boy And Girl Kissing
%-(	Broken Glasses
=((	Broken Heart
</3	Broken Heart
(U)	Broken Heart
(:^(	broken nose
:^)	broken nose
:-E	buck-tooth
:-E	Buck-tothed
}:-(	bull headed
:-c	bummed out
:-c	Bummed out Smiley
(_|_)	Butt
}i{	Butterfly
}|{	Butterfly
})i({	Butterfly
P=\\	Cap
=^.^=	Cat
>'o'<	Cat
>^..^<	Cat
