abadejo	abadej
abocado	aboc
aborrajado	aborraj
aceite	aceit
aceituna	aceitun
acelga	acelg
achicoria	achicori
achiote	achiot
achira	achir
aderezo	aderez
aditamento	aditament
adobada	adob
adobo	adob
agua	agu
aguacate	aguacat
aguadepanela	aguadepanel
aguapanela	aguapanel
aguardiente	aguardient
ahumada	ahum
ahumado	ahum
aji	aji
ajiaco	ajiac
ajo	ajo
ajonjoli	ajonjoli
albahaca	albahac
albaricoque	albaricoqu
albondiga	albondig
alcachofa	alcachof
alcaparra	alcaparr
alcapurria	alcapurri
alfajor	alfajor
alimento	aliment
aliño	aliñ
allulla	allull
almeja	almej
almendra	almendr
almibar	almib
almidon	almidon
almojabana	almojaban
almuerzo	almuerz
alubia	alubi
anchoa	ancho
anis	anis
anticucho	anticuch
aperitif	aperitif
aperitivo	aperit
apetito	apetit
apfelstrudel	apfelstrudel
apio	api
arancini	arancini
arandano	arandan
arenque	arenqu
arepa	arep
arequipe	arequip
aromatica	aromat
arrayan	array
arroces	arroc
arroz	arroz
arugula	arugul
arveja	arvej
asada	asad
asadero	asader
asadito	asadit
asado	asad
asadura	asadur
asarlo	asarl
asopao	asopa
atol	atol
atole	atol
atollabuey	atollabuey
atun	atun
avellana	avellan
avena	aven
ayote	ayot
azafran	azafr
azucar	azuc
bacalaito	bacalait
bacalao	bacala
bacardi	bacardi
bacon	bacon
bagels	bagels
bagnat	bagnat
baguete	baguet
baguette	baguett
baileys	baileys
bailey's	bailey's
ballantine's	ballantine's
banana	banan
banano	banan
banku	banku
banrock	banrock
baozi	baozi
bapao	bapa
bara	bar
barbacoa	barbaco
barquillo	barquill
basmati	basmati
batata	batat
batido	bat
bauernfr	bauernfr
baya	bay
bazlama	bazlam
beans	beans
bebida	beb
bechamel	bechamel
beer	beer
beguni	beguni
beignet	beignet
beondegi	beondegi
berenjena	berenjen
berlinesa	berlines
berro	berr
bescheutti	bescheutti
beurre	beurr
bhaji	bhaji
bhelpuri	bhelpuri
bhurji	bhurji
bienmesabe	bienmesab
bigilla	bigill
biscotti	biscotti
biscuit	biscuit
biste	bist
bistec	bistec
bitters	bitters
bizcochito	bizcochit
bizcocho	bizcoch
bizcochuelo	bizcochuel
bleo	ble
blini	blini
blinis	blinis
bocachico	bocach
bocadillo	bocadill
bocadito	bocadit
boerewors	boerewors
boliño	boliñ
bollo	boll
bolognesa	bolognes
bolonesa	bolones
boloñesa	boloñes
boniato	boniat
boronia	boroni
botana	botan
brandy	brandy
bratwurst	bratwurst
bread	bre
breakfast	breakfast
bretaña	bretañ
brevas	brev
brioche	brioch
broaster	broast
broccoflower	broccoflow
brocheta	brochet
brocoli	brocoli
brotzeit	brotzeit
brunch	brunch
budare	budar
budin	budin
bufe	buf
bufet	bufet
bungeoppang	bungeoppang
bunuelo	bunuel
buñuelo	buñuel
burasa	buras
burek	burek
butifarra	butifarr
caballa	caball
cabra	cabr
cabrito	cabrit
cacahuate	cacahuat
cacahuete	cacahuet
cacao	caca
cachapa	cachap
cafe	caf
cake	cak
calabacin	calabacin
calabaza	calabaz
calabazo	calabaz
calamar	calam
calamares	calamar
caldo	cald
calducho	calduch
calentado	calent
calentao	calenta
camaron	cam
camarones	camaron
camembert	camembert
camote	camot
campari	campari
canela	canel
canelon	canelon
canjica	canjic
canonigos	canonig
cantimpalo	cantimpal
cappuccino	cappuccin
capuchino	capuchin
caramañola	caramañol
caramelo	caramel
caraotas	caraot
carantanta	carantant
cargamanto	cargamant
carimañola	carimañol
carne	carn
carnita	carnit
caruru	caruru
casabe	casab
cassata	cassat
cassis	cassis
